,building_id,marginal_access_gain
0,112491-C,42913.47999999969
1,103358-C,26982.52999999962
2,60523-C,24095.099999998976
3,101372-C,22349.770000000502
4,36990-C,19643.89000000013
5,113664-C,19577.45000000022
6,80815-C,18112.109999999753
7,52332-C,15308.270000000746
8,76745-C,15249.770000000857
9,15668-C,13861.77000000078
10,86488-C,12543.249999999827
11,33856-C,12484.339999999194
12,34069-C,9911.309999999137
13,22224-C,8845.10000000003
14,3018-R,5697.389999999813
15,25933-C,4553.280000000141
16,107645-C,4552.249999999872
17,88034-C,4544.600000000024
18,14692-C,4366.099999999865
19,34376-C,4267.510000000023
20,5807-C,3441.0699999999574
21,85388-R,2901.480000000086
22,104146-C,2665.99
23,17678-R,2323.710000000011
24,97296-C,2184.1599999999867
25,3898-C,1902.039999999981
26,12199-C,1820.5499999999868
27,22083-C,1719.2800000000118
28,15922-C,1574.660000000001
29,104419-C,1284.5000000000014
30,15949-C,1087.5199999999995
31,30052-C,988.7000000000085
32,2877-C,888.4399999999969
33,102060-C,406.34999999999945
34,13184-C,385.7500000000006
35,36786-C,288.1400000000011
36,63570-C,251.64999999999975
37,10026-C,207.5799999999998
38,27619-C,202.32000000000002
39,86062-C,180.19
40,102909-C,169.85000000000025
41,4954-C,141.73999999999998
42,12025-C,76.72
43,14128-C,55.18999999999998
44,44457-C,53.82999999999997
45,100019-R,35.199999999999996
46,109-C,4.32
47,15865-C,2.16
