,building_id,marginal_access_gain
0,31851-C,8040.699999999841
1,105592-R,6919.0900000002075
2,3018-R,5697.389999999813
3,19415-C,5319.450000000069
4,110387-C,4887.9199999999755
5,14692-C,4366.099999999865
6,65810-C,4301.950000000028
7,109-C,1997.310000000003
8,3898-C,1902.039999999981
9,2877-C,1284.82
10,97756-C,1142.8600000000038
11,15912-C,673.2300000000023
12,101382-R,388.5299999999992
13,13184-C,385.7500000000006
14,26076-R,318.99000000000007
15,15940-C,308.2399999999995
16,10018-R,227.21000000000015
17,33843-C,214.16999999999953
18,96785-C,75.10000000000001
19,27743-R,42.95999999999999
20,15865-C,2.16
